Block,Trt,LeafInc,LeafSev,NodeInc,NodeSev,ClusterInc,ClusterSev
1,1,76,2.1544,54,6.5622,9.090909091,0.319545455
2,1,68,2.1082,36,5.468,5.882352941,0.137647059
3,1,70,2.436,40,4.5938,10.52631579,0.246315789
4,1,86,2.8112,38,4.6876,5.263157895,0.123157895
5,1,62,2.0616,52,7.1094,4.761904762,0.111428571
1,2,80,2.107,38,4.2652,0,0
2,2,66,1.8734,42,4.4066,8.695652174,0.203478261
3,2,66,2.3898,42,4.5008,5.882352941,0.137647059
4,2,86,2.811,38,6.3124,11.76470588,0.275294118
5,2,70,2.6708,44,6.266,8.695652174,0.2034
1,3,80,2.7176,42,4.2656,7.142857143,0.167142857
2,3,82,2.6236,38,2.6254,5,0.117
3,3,66,2.6712,40,5.3908,12.5,0.2925
4,3,86,2.7174,38,4.4536,12.5,0.2925
5,3,56,1.9212,40,7.391,5.555555556,0.260555556
1,4,80,2.623,44,5.531,14.28571429,0.334285714
2,4,80,2.3416,54,8.297,0,0
3,4,70,1.92,44,5.2026,4.545454545,0.106363636
4,4,70,2.202,48,4.8278,5.263157895,0.123157895
5,4,62,2.3904,38,3.1884,15.78947368,0.493157895
1,5,88,2.6702,50,6.36,16.66666667,0.520555556
2,5,70,2.6246,38,4.8286,5.555555556,0.13
3,5,76,2.8116,46,4.6408,5.263157895,0.123157895
4,5,62,1.967,38,8.3908,11.76470588,0.275294118
5,5,48,1.593,46,6.5778,0,0
1,6,92,6.3284,78,13.1872,40.90909091,1.491363636
2,6,94,4.1244,66,20.5,50,1.490454545
3,6,88,5.8118,60,15.6716,33.33333333,0.877916667
4,6,82,4.594,62,17.2188,29.16666667,1.172083333
5,6,76,3.89,62,19.219,27.27272727,1.384090909
